,name,position,draft_year,height,college,birthPlace,birthDate,draft_team,draft_pick,highSchool
262,Bradley Beal,Shooting Guard,2012,6-5,University of Florida,"St. Louis, Missouri","June 28, 1993",Washington Wizards,3rd overall,"Chaminade College Preparatory School in St. Louis, Missouri"
264,Butch Beard,Point Guard,1969,6-3,University of Louisville,"Hardinsburg, Kentucky","May 4, 1947",Atlanta Hawks,10th overall,"Breckenridge County in Hardinsburg, Kentucky"
266,Charles Beasley,Shooting Guard,1967,6-5,Southern Methodist University,"Shawnee, Oklahoma","September 23, 1945",Cincinnati Royals,74th overall,"Fair Park in Shreveport, Louisiana"
267,Jerome Beasley,Power Forward,2003,6-10,"Midland College, University of North Dakota","Compton, California","May 17, 1980",Miami Heat,33rd overall,"Moreno Valley in Moreno Valley, California"
268,John Beasley,Center and Power Forward,1966,6-9,Texas A&M University,"Texarkana, Texas","February 5, 1944",Baltimore Bullets,45th overall,"Linden-Kildare in Kildare, Texas"
269,Malik Beasley,Shooting Guard,2016,6-5,Florida State University,"Atlanta, Georgia","November 26, 1996",Denver Nuggets,19th overall,"Saint Francis in Alpharetta, Georgia"
270,Michael Beasley,Power Forward and Small Forward,2008,6-9,Kansas State University,"Cheverly, Maryland","January 9, 1989",Miami Heat,2nd overall,"Notre Dame Preparatory School in Fitchburg, Massachusetts"
271,Zelmo Beaty,Center and Power Forward,1962,6-9,Prairie View A&M University,"Hillister, Texas","October 25, 1939",St. Louis Hawks,3rd overall,"Woodville in Woodville, Texas"
273,Byron Beck,Power Forward and Center,1967,6-9,University of Denver,"Ellensburg, Washington","January 25, 1945",Chicago Bulls,15th overall,"Kittitas in Ellensburg, Washington"
276,Arthur Becker,Power Forward and Small Forward,1964,6-7,Arizona State University,"Akron, Ohio","January 12, 1942",St. Louis Hawks,22nd overall,"Camelback in Phoenix, Arizona"
278,Bob Bedell,Power Forward,1966,6-7,Stanford University,"Los Angeles, California","June 26, 1944",Philadelphia 76ers,90th overall,"Bell Gardens in Bell Gardens, California"
279,William Bedford,Center,1986,7-0,University of Memphis,"Memphis, Tennessee","December 14, 1963",Phoenix Suns,6th overall,"Melrose in Memphis, Tennessee"
281,Ron Behagen,Power Forward,1973,6-9,University of Minnesota,"New York, New York","January 14, 1951",Kansas City-Omaha Kings,7th overall,"DeWitt Clinton in Bronx, New York"
285,Dennis Bell,Small Forward,1973,6-5,Drake University,"Cincinnati, Ohio","June 2, 1951",New York Knicks,83rd overall,"Wyoming in Cincinnati, Ohio"
286,Jordan Bell,Center,2017,6-9,University of Oregon,"Los Angeles, California","January 7, 1995",Chicago Bulls,38th overall,"Long Beach Poly in Long Beach, California"
288,Troy Bell,Point Guard,2003,6-1,Boston College,"Minneapolis, Minnesota","November 10, 1980",Boston Celtics,16th overall,"Academy of Holy Angels in Richfield, Minnesota"
290,Walt Bellamy,Center,1961,6-11,Indiana University,"New Bern, North Carolina","July 24, 1939",Chicago Packers,1st overall,"J.T. Barber in New Bern, North Carolina"
291,DeAndre' Bembry,Shooting Guard and Small Forward,2016,6-6,Saint Joseph's University,"Charlotte, North Carolina","July 4, 1994",Atlanta Hawks,21st overall,"The Patrick School in Elizabeth, New Jersey"
293,Leon Benbow,Shooting Guard,1974,6-4,Jacksonville University,"Columbia, South Carolina","July 23, 1950",Chicago Bulls,27th overall,"Booker T. Washington in Columbia, South Carolina"
297,Benoit Benjamin,Center,1985,7-0,Creighton University,"Monroe, Louisiana","November 22, 1964",Los Angeles Clippers,3rd overall,"Carroll in Monroe, Louisiana"
298,Corey Benjamin,Shooting Guard and Point Guard,1998,6-6,Oregon State University,"Compton, California","February 24, 1978",Chicago Bulls,28th overall,"Fontana in Fontana, California"
299,Anthony Bennett,Power Forward,2013,6-8,"University of Nevada, Las Vegas","Toronto, Canada","March 14, 1993",Cleveland Cavaliers,1st overall,"Findlay College Prep in Henderson, Nevada"
300,Elmer Bennett,Point Guard,1992,6-0,University of Notre Dame,"Evanston, Illinois","February 13, 1970",Atlanta Hawks,38th overall,"Bellaire in Bellaire, Texas"
301,Mario Bennett,Power Forward and Small Forward,1995,6-6,Arizona State University,"Denton, Texas","August 1, 1973",Phoenix Suns,27th overall,"Denton in Denton, Texas"
304,Tony Bennett,Point Guard,1992,6-0,University of Wisconsin-Green Bay,"Green Bay, Wisconsin","June 1, 1969",Charlotte Hornets,35th overall,"Preble in Green Bay, Wisconsin"
305,Winston Bennett,Small Forward,1988,6-7,University of Kentucky,"Louisville, Kentucky","February 9, 1965",Cleveland Cavaliers,64th overall,"Male in Louisville, Kentucky"
307,Keith Benson,Center,2011,6-11,Oakland University,"Cleveland, Ohio","August 13, 1988",Atlanta Hawks,48th overall,"Detroit Country Day School in Beverly Hills, Michigan"
308,Kent Benson,Center,1977,6-10,Indiana University,"New Castle, Indiana","December 27, 1954",Milwaukee Bucks,1st overall,"Chrysler in New Castle, Indiana"
309,Ben Bentil,Power Forward,2016,6-9,Providence College,Ghana,"March 29, 1995",Boston Celtics,51st overall,"St. Andrew's School in Middletown, Delaware"
313,Ricky Berry,Shooting Guard,1988,6-8,"Oregon State University, San Jose State University","Lansing, Michigan","October 6, 1964",Sacramento Kings,18th overall,"Live Oak in Morgan Hill, California"
314,Walter Berry,Power Forward and Small Forward,1986,6-8,St. John's University,"New York, New York","May 14, 1964",Portland Trail Blazers,14th overall,"Benjamin Franklin in New York, New York"
318,Travis Best,Point Guard,1995,5-11,Georgia Institute of Technology,"Springfield, Massachusetts","July 12, 1972",Indiana Pacers,23rd overall,"Springfield Central in Springfield, Massachusetts"
319,Patrick Beverley,Point Guard and Shooting Guard,2009,6-1,University of Arkansas,"Chicago, Illinois","July 12, 1988",Los Angeles Lakers,42nd overall,"Marshall in Chicago, Illinois"
321,Wesley Bialosuknia,Shooting Guard,1967,6-2,University of Connecticut,"Poughkeepsie, New York","June 8, 1945",St. Louis Hawks,37th overall,"Franklin D Roosevelt in Hyde Park, New York"
322,Al Bianchi,Point Guard and Shooting Guard,1954,6-3,Bowling Green State University,"Long Island City, New York","March 26, 1932",Minneapolis Lakers,18th overall,"Long Island City HS in Long Island City, New York"
324,Henry Bibby,Point Guard,1972,6-1,"University of California, Los Angeles","Franklinton, North Carolina","November 24, 1949",New York Knicks,58th overall,"Person-Albion in Franklinton, North Carolina"
325,Mike Bibby,Point Guard,1998,6-1,University of Arizona,"Cherry Hill, New Jersey","May 13, 1978",Vancouver Grizzlies,2nd overall,"Shadow Mountain in Phoenix, Arizona"
329,Bob Bigelow,Small Forward,1975,6-7,University of Pennsylvania,"Boston, Massachusetts","December 26, 1953",Kansas City Kings,13th overall,"Winchester in Winchester, Massachusetts"
331,Chauncey Billups,Point Guard and Shooting Guard,1997,6-3,University of Colorado,"Denver, Colorado","September 25, 1976",Boston Celtics,3rd overall,"George Washington in Denver, Colorado"
332,Dave Bing,Point Guard and Shooting Guard,1966,6-3,Syracuse University,"Washington, District of Columbia","November 24, 1943",Detroit Pistons,2nd overall,"Spingarn in Washington, District of Columbia"
333,Joe Binion,Power Forward,1984,6-8,North Carolina Agricultural and Technical State University,"Rochester, New York","March 26, 1961",San Antonio Spurs,57th overall,"Madison in Rochester, New York"
335,Jabari Bird,Shooting Guard,2017,6-6,University of California,"Walnut Creek, California","July 3, 1994",Boston Celtics,56th overall,"Salesian Prep in Richmond, California"
337,Larry Bird,Power Forward and Small Forward,1978,6-9,Indiana State University,"West Baden, Indiana","December 7, 1956",Boston Celtics,6th overall,"Springs Valley in French Lick, Indiana"
338,Otis Birdsong,Shooting Guard,1977,6-3,University of Houston,"Winter Haven, Florida","December 9, 1955",Kansas City Kings,2nd overall,"Winter Haven in Winter Haven, Florida"
342,Uwe Blab,Center,1985,7-1,Indiana University,"Munich, Germany","March 26, 1962",Dallas Mavericks,17th overall,"Effingham in Effingham, Illinois"
347,Rolando Blackman,Shooting Guard,1981,6-6,Kansas State University,"Panama City, Panama","February 26, 1959",Dallas Mavericks,9th overall,"William E. Grady Career and Technical in Brooklyn, New York"
349,Cory Blackwell,Small Forward,1984,6-6,University of Wisconsin,"Chicago, Illinois","March 27, 1963",Seattle SuperSonics,28th overall,"Crane Technical Preparatory in Chicago, Illinois"
351,Nate Blackwell,Point Guard,1987,6-4,Temple University,"Philadelphia, Pennsylvania","February 15, 1965",San Antonio Spurs,27th overall,"South Philadelphia in Philadelphia, Pennsylvania"
352,DeJuan Blair,Center and Power Forward,2009,6-7,University of Pittsburgh,"Pittsburgh, Pennsylvania","April 22, 1989",San Antonio Spurs,37th overall,"Schenley in Pittsburgh, Pennsylvania"
353,Steve Blake,Point Guard,2003,6-3,University of Maryland,"Hollywood, Florida","February 26, 1980",Washington Wizards,38th overall,"Oak Hill Academy in Mouth of Wilson, Virginia"
355,Will Blalock,Point Guard,2006,6-0,Iowa State University,"Boston, Massachusetts","September 8, 1983",Detroit Pistons,60th overall,"Notre Dame Preparatory School in Fitchburg, Massachusetts"
356,George Blaney,Point Guard,1961,6-1,College of the Holy Cross,"Jersey City, New Jersey","November 12, 1939",New York Knicks,33rd overall,"Saint Peter's Preparatory School in Jersey City, New Jersey"
357,Lance Blanks,Shooting Guard,1990,6-4,"University of Virginia, University of Texas at Austin","Del Rio, Texas","September 9, 1966",Detroit Pistons,26th overall,"McCullough in The Woodlands, Texas"
358,Ricky Blanton,Small Forward,1989,6-7,Louisiana State University,"Miami, Florida","April 21, 1966",Phoenix Suns,46th overall,"Killian in Miami, Florida"
360,Mookie Blaylock,Point Guard,1989,6-0,"Midland College, University of Oklahoma","Garland, Texas","March 20, 1967",New Jersey Nets,12th overall,"Garland in Garland, Texas"
361,Eric Bledsoe,Point Guard,2010,6-1,University of Kentucky,"Birmingham, Alabama","December 9, 1989",Oklahoma City Thunder,18th overall,"A.H. Parker in Birmingham, Alabama"
363,John Block,Power Forward and Center,1966,6-9,University of Southern California,"Los Angeles, California","April 16, 1944",Los Angeles Lakers,27th overall,"Glendale in Glendale, California"
365,Jaron Blossomgame,Small Forward,2017,6-7,Clemson University,"Atlanta, Georgia","September 16, 1993",San Antonio Spurs,59th overall,"Chattahoochee in Johns Creek, Georgia"
366,Corie Blount,Power Forward and Center,1993,6-9,University of Cincinnati,"Monrovia, California","January 4, 1969",Chicago Bulls,25th overall,"Monrovia in Monrovia, California"
367,Mark Blount,Center,1997,7-0,University of Pittsburgh,"Dobbs Ferry, New York","November 30, 1975",Seattle SuperSonics,54th overall,"Oak Hill Academy in Mouth of Wilson, Virginia"
369,Ray Blume,Shooting Guard,1981,6-4,Oregon State University,"Valdosta, Georgia","September 23, 1958",Indiana Pacers,36th overall,"Parkrose in Portland, Oregon"
372,Bucky Bockhorn,Shooting Guard,1958,6-4,University of Dayton,"Campbell Hill, Illinois","July 8, 1933",Cincinnati Royals,17th overall,"Trico Consolidated in Campbell Hill, Illinois"
373,Tom Boerwinkle,Center,1968,7-0,University of Tennessee,"Cleveland, Ohio","August 23, 1945",Chicago Bulls,4th overall,"Millersburg Military Institute in Millersburg, Kentucky"
374,Keith Bogans,Small Forward and Shooting Guard,2003,6-5,University of Kentucky,"Alexandria, Virginia","May 12, 1980",Milwaukee Bucks,43rd overall,"DeMatha Catholic in Hyattsville, Maryland"
377,Muggsy Bogues,Point Guard,1987,5-3,Wake Forest University,"Baltimore, Maryland","January 9, 1965",Washington Bullets,12th overall,"Paul Laurence Dunbar in Baltimore, Maryland"
378,Andrew Bogut,Power Forward and Center,2005,7-0,University of Utah,"Melbourne, Australia","November 28, 1984",Milwaukee Bucks,1st overall,"Australian Institute of Sport in Melbourne, Australia"
380,Manute Bol,Center,1983,7-7,University of Bridgeport,"Gogrial, South Sudan","October 16, 1962",San Diego Clippers,97th overall,"Case Western Reserve English Language in Cleveland, Ohio"
381,Jonah Bolden,Power Forward,2017,6-10,"University of California, Los Angeles","Melbourne, Australia","January 2, 1996",Philadelphia 76ers,36th overall,"Brewster Academy in Wolfeboro, New Hampshire"
383,Joel Bolomboy,Power Forward,2016,6-9,Weber State University,"Kiev, Ukraine","January 28, 1994",Utah Jazz,52nd overall,"Keller Central in Fort Worth, Texas"
385,George Bon Salle,Power Forward,1957,6-8,University of Illinois at Urbana-Champaign,"Chicago, Illinois","July 1, 1935",Syracuse Nationals,7th overall,"Loyola Academy in Wilmette, Illinois"
386,Phil Bond,Shooting Guard,1977,6-2,University of Louisville,"Louisville, Kentucky","July 27, 1954",Houston Rockets,62nd overall,"Manual in Louisville, Kentucky"
390,Ron Bonham,Shooting Guard and Small Forward,1964,6-5,University of Cincinnati,"Muncie, Indiana","May 31, 1942",Boston Celtics,16th overall,"Muncie Central in Muncie, Indiana"
391,Anthony Bonner,Small Forward and Power Forward,1990,6-8,Saint Louis University,"St. Louis, Missouri","June 8, 1968",Sacramento Kings,23rd overall,"Vashon in St. Louis, Missouri"
392,Matt Bonner,Power Forward and Center,2003,6-10,University of Florida,"Concord, New Hampshire","April 5, 1980",Chicago Bulls,45th overall,"Concord in Concord, New Hampshire"
394,Devin Booker,Shooting Guard,2015,6-6,University of Kentucky,"Grand Rapids, Michigan","October 30, 1996",Phoenix Suns,13th overall,"Moss Point in Moss Point, Mississippi"
396,Trevor Booker,Power Forward,2010,6-8,Clemson University,"Newberry, South Carolina","November 25, 1987",Minnesota Timberwolves,23rd overall,"Union County in Union, South Carolina"
397,Josh Boone,Center and Power Forward,2006,6-10,University of Connecticut,"Mount Airy, Maryland","November 21, 1984",New Jersey Nets,23rd overall,"West Nottingham Academy in Colora, Maryland"
398,Ron Boone,Shooting Guard,1968,6-2,Idaho State University,"Oklahoma City, Oklahoma","September 6, 1946",Phoenix Suns,147th overall,"Omaha Technical in Omaha, Nebraska"
399,Calvin Booth,Center,1999,6-11,Pennsylvania State University,"Reynoldsburg, Ohio","May 7, 1976",Washington Wizards,35th overall,"Groveport Madison in Reynoldsburg, Ohio"
400,Keith Booth,Small Forward,1997,6-6,University of Maryland,"Baltimore, Maryland","October 9, 1974",Chicago Bulls,28th overall,"Paul Laurence Dunbar in Baltimore, Maryland"
401,Bob Boozer,Small Forward and Power Forward,1959,6-8,Kansas State University,"Omaha, Nebraska","April 26, 1937",Cincinnati Royals,1st overall,"Omaha Technical in Omaha, Nebraska"
402,Carlos Boozer,Center and Power Forward,2002,6-9,Duke University,"Aschaffenburg, Germany","November 20, 1981",Cleveland Cavaliers,35th overall,"Juneau-Douglas in Juneau, Alaska"
403,Curtis Borchardt,Center,2002,7-0,Stanford University,"Buffalo, New York","September 13, 1980",Orlando Magic,18th overall,"Eastlake in Redmond, Washington"
408,Chris Bosh,Power Forward and Center,2003,6-11,Georgia Institute of Technology,"Dallas, Texas","March 24, 1984",Toronto Raptors,4th overall,"Lincoln in Dallas, Texas"
409,Jim Bostic,Power Forward,1975,6-7,New Mexico State University,"Brooklyn, New York","January 28, 1953",Kansas City Kings,139th overall,"Gorton in Yonkers, New York"
410,Lawrence Boston,Power Forward,1978,6-8,University of Maryland,"Cleveland, Ohio","May 18, 1956",Washington Bullets,81st overall,"John F. Kennedy in Cleveland, Ohio"
411,Tom Boswell,Power Forward,1975,6-9,"South Carolina State University, University of South Carolina","Montgomery, Alabama","October 2, 1953",Boston Celtics,17th overall,"Carver in Montgomery, Alabama"
413,Ruben Boumtje-Boumtje,Center,2001,7-0,Georgetown University,"Edea, Cameroon","May 20, 1978",Portland Trail Blazers,50th overall,"Archbishop Carroll in Washington, District of Columbia"
415,Cal Bowdler,Small Forward and Power Forward,1999,6-10,Old Dominion University,"Sharps, Virginia","March 31, 1977",Atlanta Hawks,17th overall,"Rappahannock in Warsaw, Virginia"
417,Ryan Bowen,Small Forward and Power Forward and Shooting Guard,1998,6-7,University of Iowa,"Fort Madison, Iowa","November 20, 1975",Denver Nuggets,55th overall,"Fort Madison in Fort Madison, Iowa"
